prompt,label,classname
"An ancient abacus tool, consisting of a frame with rows of beads or other movable counters, used for mathematical operations and counting.",398,abacus
"A loose, full-length abaya worn by some Muslim women, primarily in the Arabian Peninsula, as an outer covering to ensure modesty.",399,abaya
"A long, flowing academic gown worn by academics, graduates, and students during formal events, such as graduations and ceremonies, often accompanied by a cap or hood to signify the wearer's level of education.",400,academic gown
"A musical accordion, consisting of a central bellows and two keyboards, played by compressing and expanding the bellows to produce sound while pressing keys or buttons to control pitch.",401,accordion
"A stringed musical instrument, featuring a hollow body and a sound hole, which amplifies the vibration of the strings to produce sound. Acoustic guitars are commonly used in various music genres, including folk, blues, and rock.",402,acoustic guitar
"A large aircraft carrier designed to serve as a seagoing airbase, equipped with a full-length flight deck for the launching and recovery of aircraft.",403,aircraft carrier
"A large, fixed-wing airliner designed to transport passengers and cargo over long distances, typically operated by commercial airlines.",404,airliner
"A type of lighter-than-air aircraft, also known as a dirigible, characterized by its elongated shape, powered by engines, and steered by a rudder. Airships typically consist of a rigid frame covered with an envelope filled with gas, such as helium or hydrogen.",405,airship
"A raised altar, table, or other structure used for religious or spiritual rituals, often found in churches, temples, and other places of worship.",406,altar
"A specialized ambulance designed for the transportation of sick or injured people to medical facilities, often equipped with life-saving equipment and staffed by paramedics or other medical professionals.",407,ambulance
"A amphibious vehicle of vehicle capable of traveling on both land and water, often used for military purposes or in specialized civilian applications.",408,amphibious vehicle
"A analog clock device that displays the time using a series of rotating hands on a numbered dial or face, rather than a digital display.",409,analog clock
"A apiary where bees are kept for honey production, often consisting of a collection of beehives and related equipment.",410,apiary
"A protective apron worn over the front of one's clothing, typically made of cloth or other material, and tied around the waist to protect against spills, stains, or damage while working.",411,apron
"A trash can used for temporarily storing waste, typically made of plastic or metal and equipped with a lid to keep the contents contained and concealed.",412,trash can
"A type of firearm designed for rapid fire and the use of intermediate cartridges, typically used by military and law enforcement personnel. Assault rifles often feature detachable magazines and selective fire options.",413,assault rifle
"A backpack with shoulder straps that is carried on one's back, often used for carrying personal belongings or supplies, especially while hiking, traveling, or attending school.",414,backpack
"A bakery where bread, pastries, cakes, and other baked goods are made or sold, often including a retail space where customers can purchase the products.",415,bakery
"A narrow, raised balance beam used in gymnastics, on which athletes perform a series of acrobatic and balancing maneuvers during a routine.",416,balance beam
"A flexible balloon, typically made of rubber or latex, which can be filled with air or other gases and used for various purposes, such as decoration, transportation, or scientific experiments.",417,balloon
"A ballpoint pen instrument that uses a small, rotating ball at the tip to dispense ink onto a surface, providing a smooth writing experience and eliminating the need for a separate inkwell.",418,ballpoint pen
"A Band-Aid of adhesive bandage used to cover and protect small cuts, scrapes, or wounds, often made from a flexible, skin-colored material with an adhesive backing and a small, absorbent pad in the center.",419,Band-Aid
"A stringed musical banjo, characterized by a round, drum-like body with a skin or plastic head and a long, fretted neck, often used in folk, country, and bluegrass music.",420,banjo
"A baluster / handrail of short, vertical posts that support a handrail, often used on staircases, balconies, and decks to provide safety and stability. Balusters can be made of various materials, such as wood or metal, and may be decorative or functional in design.",421,baluster / handrail
"A type of weightlifting equipment consisting of a long metal bar with weighted plates attached to each end, used for various exercises to build strength and muscle. Barbells can be lifted using one or both hands and can be used with or without a weight bench.",422,barbell
"A specially designed chair used by barbers for seating customers while they receive haircuts, shaves, or other grooming services. Barber chairs often have adjustable heights, reclining backrests, and footrests for the comfort of both the client and the barber.",423,barber chair
"A barbershop establishment where haircuts, shaves, and other grooming services are provided by professional barbers, often catering specifically to men's grooming needs.",424,barbershop
"A large, usually wooden, barn used for storing farm equipment, hay, and grain, or for housing livestock, such as horses, cows, or pigs.",425,barn
"An instrument used to measure atmospheric pressure, often employed in weather forecasting and determining altitude. Barometers can be either mercury-based or aneroid (using a sealed, flexible chamber).",426,barometer
"A large, cylindrical barrel made of wood, metal, or plastic, typically used for storing and transporting liquids, such as wine, beer, or oil.",427,barrel
"A small, single-wheeled wheelbarrow with handles at the rear, used for carrying loads in gardening, construction, or other manual labor tasks.",428,wheelbarrow
"A ball used in the sport of baseball, typically made of a cork or rubber core wrapped in yarn and covered in leather or synthetic materials, and measuring about 9 inches (23 cm) in circumference.",429,baseball
"A ball used in the sport of basketball, typically made of a rubber or synthetic material with a textured surface for grip, and measuring about 29.5 inches (75 cm) in circumference for men's play and 28.5 inches (72 cm) for women's play.",430,basketball
"A small, portable bassinet bed or cradle, often designed for infants up to a few months old, featuring a hood or canopy and sometimes mounted on a frame with wheels for easy transport.",431,bassinet
"A woodwind musical bassoon with a double reed, a long, conical wooden body, and a distinctive U-shaped bend in the tubing, producing a deep, rich sound in the bass register.",432,bassoon
"A tight-fitting swimming cap, usually made of silicone or latex, worn on the head while swimming to keep hair dry, reduce drag, and protect the hair and scalp from chlorine or other pool chemicals.",433,swimming cap
"A large, absorbent bath towel used for drying the body after bathing, showering, or swimming, typically made of cotton, microfiber, or other absorbent materials.",434,bath towel
"A large, fixed container, often made of porcelain, acrylic, or cast iron, and designed for holding water in which a person can bathe. Bathtubs can be installed as freestanding units or built into a bathroom enclosure and may feature built-in faucets, showerheads, or whirlpool jets.",435,bathtub
"A type of automobile, similar to a sedan, but with an extended rear cargo area and a rear door, often used for transporting passengers and luggage. Station wagons typically have foldable rear seats for additional storage space.",436,station wagon
"A lighthouse, often conical or cylindrical tower with a powerful light at the top, located near coastlines, harbors, or other navigational points to guide ships and warn of hazards.",437,lighthouse
"A cylindrical beaker with a flat bottom, typically made of glass or plastic, and used in laboratories for mixing, measuring, or heating liquids.",438,beaker
"A military hat (bearskin or shako), cylindrical or conical hat, often made of fur (bearskin) or stiffened cloth (shako), worn as part of a military uniform, particularly for ceremonial purposes or by certain regiments.",439,military hat (bearskin or shako)
"A beer bottle, typically made of glass or sometimes aluminum, designed to hold and transport beer, usually sealed with a cap or, less commonly, a cork.",440,beer bottle
"A specially designed beer glass glass used for consuming beer, with various shapes and sizes tailored to enhance the aroma, flavor, and appearance of specific beer styles.",441,beer glass
"A bell tower, often attached to a church or other public building, containing one or more bells that are rung to mark the time, signal events, or call people to worship.",442,bell tower
"A protective baby bib worn around a baby's neck and draped over the chest, designed to catch food spills and drool, typically made of absorbent cloth or easily wiped plastic.",443,baby bib
"A tandem bicycle designed for two riders, with one seat and set of pedals positioned behind the other, allowing both riders to pedal simultaneously.",444,tandem bicycle
"A two-piece bikini's swimsuit, typically consisting of a bra-like top and brief-style bottoms, which reveals the midriff and often exposes more skin than a traditional one-piece swimsuit.",445,bikini
"A ring binder with a built-in mechanism, usually consisting of metal rings or prongs, designed to hold hole-punched paper or plastic sleeves for organization and storage.",446,ring binder
"A binoculars of optical instruments, each consisting of a small telescope, mounted side-by-side and aligned to point in the same direction, allowing the user to view distant objects with both eyes for enhanced depth perception and clarity.",447,binoculars
"A small, enclosed birdhouse, often made of wood or metal, designed to provide shelter and nesting sites for birds.",448,birdhouse
"A boathouse, typically located near a body of water, used for storing boats, equipment, and other watercraft, often with direct access to the water for launching.",449,boathouse
"A winter sports vehicle designed for racing down an ice-covered track, featuring a streamlined body and two sets of runners, with the front set being steerable. Bobsleighs typically accommodate two or four riders.",450,bobsleigh
"A bolo tie of necktie consisting of a cord or braided leather, worn around the collar and fastened with a decorative clasp or slide, often associated with Western or Southwestern fashion.",451,bolo tie
"A poke bonnet of women's hat popular in the 19th century, featuring a brim that projects forward to shield the face from sun and wind, and a ribbon tied under the chin to secure it in place.",452,poke bonnet
"A bookcase of furniture with shelves designed for storing and displaying books, often made of wood, metal, or a combination of materials.",453,bookcase
"A retail bookstore specializing in the sale of books, often also offering magazines, newspapers, stationery, and sometimes other items such as games, gifts, or coffee.",454,bookstore
"A small, bottle cap, and typically flat or slightly concave piece of metal or plastic used to seal the opening of a bottle, designed to be easily removed and replaced.",455,bottle cap
"A specialized hunting bow of bow, typically made of wood, metal, or composite materials, designed for shooting arrows at game animals for hunting purposes.",456,hunting bow
"A bow tie of necktie, consisting of a ribbon of fabric tied in a symmetrical knot at the collar, creating two loops resembling butterfly wings, often worn with formal attire.",457,bow tie
"A flat, engraved brass memorial plaque made of brass, used to commemorate a person, event, or location, typically mounted on a wall or other surface.",458,brass memorial plaque
"A bra's undergarment designed to support and shape the breasts, typically consisting of two cups, shoulder straps, and a band that fastens around the chest.",459,bra
"A coastal breakwater, often made of large rocks, concrete, or other materials, built to protect a harbor, anchorage, or shoreline from the force of waves and to reduce erosion.",460,breakwater
"A breastplate of armor, typically made of metal or leather, designed to protect the chest and upper torso of a wearer during combat or other dangerous situations.",461,breastplate
"A broom tool consisting of stiff bristles, usually made of natural or synthetic fibers, attached to a long handle, used for sweeping dirt and debris from floors and other surfaces.",462,broom
"A cylindrical, open-topped bucket with a handle, usually made of metal, plastic, or wood, used for holding and carrying liquids, solids, or other materials.",463,bucket
"A buckle or plastic fastening device, often used on belts, straps, or shoes, consisting of a frame with a movable prong or other mechanism that secures one end of the strap and allows for adjustment.",464,buckle
"A protective bulletproof vest, typically made of Kevlar or other strong synthetic fibers, designed to absorb the impact of bullets and reduce or prevent injury to the wearer.",465,bulletproof vest
"A high-speed train of rail transport that operates at significantly faster speeds than traditional trains, often using specially designed tracks, rolling stock, and advanced technology to achieve high velocities and increased efficiency.",466,high-speed train
"A retail butcher shop that specializes in the sale of meat, often including poultry, fish, and other related products, where the meat is typically cut and prepared on-site by a butcher.",467,butcher shop
"A vehicle for hire, usually a car, that transports passengers between locations of their choice, with fares typically calculated based on distance traveled or time spent in the vehicle. Taxicabs can be hailed on the street, arranged by phone or app, or picked up at designated taxi stands.",468,taxicab
"A large, metal cauldron pot with a handle and often a lid, traditionally used for cooking over an open fire.",469,cauldron
"A cylindrical or tapered candle of wax, tallow, or other solid fuel with a central wick, which is lit to produce light as the fuel melts and is consumed.",470,candle
"A large, mounted cannon that fires heavy projectiles, historically used in warfare and for other purposes such as ceremonial salutes.",471,cannon
"A canoe, narrow watercraft, typically pointed at both ends and open on top, propelled by one or more seated or kneeling paddlers facing the direction of travel using single-bladed paddles.",472,canoe
A can opener or electric device designed to open metal cans by cutting or removing the lid.,473,can opener
"A cardigan of knitted sweater or jacket that opens down the front, usually with buttons or a zipper, and often has a collar.",474,cardigan
"A reflective car mirror, typically mounted on the outside or inside of a vehicle, allowing the driver to see areas behind or to the sides of the vehicle that are not visible through the windshield or rear window.",475,car mirror
"A rotating carousel ride, often found at carnivals or amusement parks, featuring seats or platforms, usually in the shape of horses or other animals, that move up and down as the ride turns.",476,carousel
"A tool kit of tools, usually housed in a case or box, designed for a specific purpose or for general use in various tasks, such as repairs, maintenance, or assembly.",477,tool kit
"A cardboard box / carton made from thick paper or paperboard, typically used for packaging, shipping, or storage of goods.",478,cardboard box / carton
"A car wheel, metal or alloy rim on which a tire is mounted, providing support and allowing the vehicle to roll smoothly along a surface.",479,car wheel
"An electronic automated teller machine machine that allows customers to perform financial transactions, such as deposits, withdrawals, balance inquiries, and transfers, without the assistance of a human teller.",480,automated teller machine
"A cassette, rectangular plastic case containing a magnetic tape, used for recording and playback of audio or video content.",481,cassette
"An electronic cassette player designed to play audio or video cassettes, typically using a tape head to read the magnetic signals on the tape as it is pulled across the head by a motorized mechanism.",482,cassette player
"A large, fortified castle or group of buildings, historically used as a residence for nobility or royalty and often featuring thick walls, towers, and other defensive structures.",483,castle
"A catamaran of sailboat or powered boat with two parallel hulls of equal size, providing increased stability and often greater speed compared to single-hulled vessels.",484,catamaran
"An electronic CD player designed to play compact discs (CDs), which store digital audio data that is read by a laser and converted into sound.",485,CD player
"A large, four-stringed musical cello of the violin family, played by bowing or plucking the strings while the instrument is held upright, resting on the floor with a metal or wooden spike.",486,cello
"A portable, wireless mobile phone device that allows users to make and receive telephone calls, send and receive text messages, and access various services and applications, often including internet access, email, and multimedia features.",487,mobile phone
"A chain of connected metal links, typically used for fastening or securing objects, transmitting mechanical power, or as a decorative accessory.",488,chain
"A chain-link fence of fence made from interwoven strands of metal, forming a pattern of diamond-shaped openings, often used for security or to enclose an area.",489,chain-link fence
"A chain mail of flexible armor made from interlinked metal rings, often worn by medieval soldiers for protection against cutting and stabbing weapons.",490,chain mail
"A portable, mechanical chainsaw with a rotating chain of small, sharp teeth set along a guide bar, commonly used for cutting wood, such as trees, logs, and branches.",491,chainsaw
"A large, sturdy storage chest or piece of furniture, often made of wood or metal, used for storing items such as clothes, linens, or household goods.",492,storage chest
"A chiffonier, narrow piece of furniture, often with drawers, shelves, or compartments, used for storing items such as clothing, linens, or dishes.",493,chiffonier
"A decorative bell or wind chime of small bells or hollow, tubular objects that produce sound when they are struck by the wind or another external force.",494,bell or wind chime
"A china cabinet of furniture, often with glass doors, shelves, and a solid base, used for displaying and storing fine china, glassware, and other decorative items.",495,china cabinet
"A large, sock-shaped Christmas stocking, traditionally hung by the fireplace or another prominent location during the Christmas season, used for holding small gifts, toys, or other festive items.",496,Christmas stocking
"A church or structure where religious services, ceremonies, and other activities related to worship and spirituality are held.",497,church
"A movie theater, often with multiple screens or auditoriums, where films are shown to the public, usually for a fee.",498,movie theater
"A large, heavy cleaver with a broad, rectangular blade, used primarily for cutting through meat and bones.",499,cleaver
"A cliff dwelling or structure built into the side of a cliff, often found in the southwestern United States and constructed by ancient Native American cultures such as the Anasazi and the Sinagua.",500,cliff dwelling
"A loose, sleeveless cloak that is worn over the shoulders and fastened at the neck, often used for warmth or as a decorative accessory.",501,cloak
"A type of footwear with a thick, rigid sole, often made of wood, and an upper made of leather or another material. Clogs can be open or closed, and are commonly associated with Dutch and Scandinavian cultures.",502,clogs
"A cocktail shaker used for mixing alcoholic beverages, typically consisting of a metal or glass body and a tight-fitting lid with a built-in strainer.",503,cocktail shaker
"A cylindrical coffee mug with a handle, typically made of ceramic or glass, used for drinking hot beverages such as coffee or tea.",504,coffee mug
A coffeemaker appliance used to brew coffee by heating water and passing it through ground coffee beans.,505,coffeemaker
"A curved or helical spiral or coil, often found in objects such as springs, wires, or binding materials for notebooks and documents.",506,spiral or coil
A combination lock of lock that is opened by aligning a series of rotating dials or discs to a specific sequence of numbers or symbols.,507,combination lock
"An computer keyboard device for computers that consists of a set of keys arranged in rows, used for entering text, numbers, and commands.",508,computer keyboard
"A retail candy store that primarily sells confections, sweets, and other sugary treats.",509,candy store
"A large container ship ship designed to carry standardized shipping containers, which can be easily loaded, unloaded, and transported between different modes of transportation.",510,container ship
"A convertible of car with a retractable roof, allowing the vehicle to be driven with the top up (enclosed) or down (open).",511,convertible
"A corkscrew used to remove corks from wine bottles, typically featuring a spiral metal rod and a handle for leverage.",512,corkscrew
A cornet musical instrument similar to a trumpet but with a more compact shape and mellower tone.,513,cornet
"A cowboy boot of boot traditionally worn by cowboys, featuring a high shaft, pointed toe, and a low, angled heel.",514,cowboy boot
"A wide-brimmed cowboy hat, typically made of felt or straw, with a high, rounded crown, often associated with the American West and cowboy culture.",515,cowboy hat
"A small cradle or rocking structure for an infant, designed to gently rock back and forth to soothe and comfort the baby.",516,cradle
"A large, tall construction crane used in construction projects for lifting and moving heavy materials, such as steel beams or concrete blocks.",517,construction crane
"A protective crash helmet worn by motorcyclists, race car drivers, and others involved in high-speed or high-risk activities to reduce the risk of head injuries.",518,crash helmet
"A large, often wooden, crate used for transporting or storing goods.",519,crate
"A small infant bed specifically designed for infants and very young children, often with raised sides to prevent the child from falling out.",520,infant bed
"A Crock Pot of slow cooker, an electric kitchen appliance that cooks food at a low temperature over an extended period, often used for soups, stews, and other one-pot meals.",521,Crock Pot
"A solid, typically wooden or plastic croquet ball used in the game of croquet, which involves hitting the ball through a series of hoops with a mallet.",522,croquet ball
"A crutch aid used to support and transfer weight from the legs to the upper body, typically used by individuals with an injury or disability that affects their ability to walk.",523,crutch
"A cuirass of armor that covers the torso, usually made of metal or leather, and is worn to protect the chest and back in battle.",524,cuirass
"A dam built across a river or stream to control the flow of water, often used for generating electricity, providing water for irrigation, or creating reservoirs.",525,dam
"A desk of furniture with a flat surface and typically drawers or shelves, used for writing, reading, or working on a computer.",526,desk
"A personal desktop computer designed to be used on a desk or table, often consisting of a separate monitor, keyboard, mouse, and processing unit.",527,desktop computer
"A rotary dial telephone of telephone with a circular dial containing numbered holes, used to enter the phone number by rotating the dial for each digit.",528,rotary dial telephone
"A diaper worn by infants or individuals with incontinence issues, designed to absorb and contain urine and feces.",529,diaper
"A digital clock that displays the time using digits, as opposed to an analog clock, which uses hands and a dial to indicate the time.",530,digital clock
"A digital watch that displays the time using digital numbers, typically powered by a battery or solar cell.",531,digital watch
"A large dining table, usually with chairs arranged around it, used for eating meals.",532,dining table
"A dishcloth used for washing dishes, wiping surfaces, and drying hands in the kitchen.",533,dishcloth
"A dishwasher appliance that automatically washes and dries dishes, utensils, and cookware by spraying them with water and detergent, then rinsing and drying them.",534,dishwasher
"A disc brake of brake system used in vehicles, consisting of a metal disc and brake pads that create friction to slow or stop the vehicle when the brakes are applied.",535,disc brake
"A dock extending alongshore or out from the shore into a body of water, to which boats may be moored.",536,dock
"A sled or sleigh pulled by a dog sled of dogs, typically used for transportation or racing in snowy or icy conditions.",537,dog sled
"An architectural dome characterized by its curved, hemispherical shape, often used as a roof for buildings or as a decorative element.",538,dome
"A doormat placed outside or inside the entrance of a home or building, used to wipe shoes and remove dirt before entering.",539,doormat
"A drilling rig that creates holes in the ground for extracting natural resources, such as oil, gas, or water, or for installing foundation supports for buildings or other structures.",540,drilling rig
"A percussion instrument consisting of a hollow shell, usually cylindrical, with a membrane stretched over one or both ends, played by striking with the hands or drumsticks.",541,drum
A drumstick used for striking drums and other percussion instruments to produce sound.,542,drumstick
"A dumbbell of weightlifting equipment consisting of a short bar with a weight at each end, used for exercise and strength training.",543,dumbbell
"A large, heavy Dutch oven pot with a tight-fitting lid, often made of cast iron, used for slow cooking on the stovetop or in the oven.",544,Dutch oven
"A electric fan with rotating blades that creates airflow by moving air, typically used for cooling or ventilating a space.",545,electric fan
"A musical electric guitar with a solid or semi-hollow body that uses electromagnetic pickups to convert the vibration of its strings into electrical signals, which are then amplified and played through a speaker.",546,electric guitar
"A electric locomotive of locomotive powered by electricity, typically drawn from overhead wires or a third rail, used to pull or push trains along railway tracks.",547,electric locomotive
"A entertainment center of furniture designed to house electronic equipment, such as a television, stereo system, and gaming consoles, often featuring shelves, drawers, or compartments for organizing media and accessories.",548,entertainment center
"A flat, usually rectangular or square envelope container used to enclose a letter or document, sealed by folding a flap over the opening and securing it with adhesive, a sticker, or another method.",549,envelope
A espresso machine of coffee maker that forces hot water under pressure through finely ground coffee beans to produce a concentrated coffee beverage known as espresso.,550,espresso machine
"A cosmetic face powder, often in the form of a fine, loose powder, applied to the face to set makeup, absorb oil, or provide a matte finish.",551,face powder
"A long, narrow feather boa made from feathers, often worn around the neck or draped over the shoulders as a decorative or fashionable item.",552,feather boa
"A filing cabinet of office furniture with drawers or compartments designed to store and organize files, documents, and other paperwork.",553,filing cabinet
"A specialized fireboat equipped with powerful pumps and nozzles for spraying water, used to fight fires on boats, ships, or waterfront structures.",554,fireboat
"A large fire truck, typically equipped with ladders, hoses, pumps, and other firefighting equipment, used by firefighters to transport personnel and equipment to the scene of a fire or other emergency.",555,fire truck
A protective fire screen placed in front of a fireplace to prevent sparks and hot embers from escaping and causing damage or injury.,556,fire screen
"A flagpole, vertical pole used to display flags, usually made of metal, wood, or fiberglass.",557,flagpole
"A musical flute from the woodwind family, typically made of metal and played by blowing air across a hole in the instrument and pressing keys to create different pitches.",558,flute
"A folding chair of lightweight, portable chair with a collapsible frame that can be easily folded and stored when not in use.",559,folding chair
A protective football helmet worn by American football players to help prevent head injuries during games and practices.,560,football helmet
"An industrial forklift with a power-operated, fork-like lifting mechanism used to move, lift, and stack heavy loads or materials, such as pallets or crates.",561,forklift
"A decorative fountain that incorporates water flow, often in a pool, pond, or basin, and can feature various designs, such as statues or cascades.",562,fountain
"A fountain pen instrument that uses a nib and an internal ink reservoir to apply ink to paper, providing a smooth and controlled writing experience.",563,fountain pen
"A four-poster bed with four tall, vertical posts at each corner, which can support a canopy or curtains for decoration or privacy.",564,four-poster bed
"A freight car of railroad car used to transport goods, materials, or cargo, such as boxcars, flatcars, or tank cars.",565,freight car
"A French horn musical instrument with a coiled tube, flared bell, and three or more valves, played by blowing into a mouthpiece and pressing valves to change pitch.",566,French horn
"A frying pan, flat-bottomed cooking pan with a long handle, typically made of metal, used for frying, searing, or browning food.",567,frying pan
"A fur coat made from animal fur, often worn for warmth or as a symbol of luxury and status.",568,fur coat
"A specialized garbage truck designed to collect and transport solid waste, such as household trash or commercial refuse, to a disposal facility.",569,garbage truck
"A protective gas mask or respirator worn over the face to filter harmful airborne contaminants, such as toxic gases, smoke, or dust, and provide clean air to the wearer.",570,gas mask or respirator
"A gas pump used to dispense fuel, such as gasoline or diesel, into the tanks of motor vehicles at filling stations.",571,gas pump
"A stemmed goblet glass with a wide, open top, often used for serving wine or other beverages.",572,goblet
"A small, lightweight go-kart with a simple frame, powered by a small engine, used for recreational racing or off-road driving.",573,go-kart
"A small, dimpled golf ball used in the sport of golf, designed to be hit by a club and propelled towards a hole on a golf course.",574,golf ball
"A small, electric or gas-powered golf cart designed to transport golfers and their equipment around a golf course.",575,golf cart
"A traditional, flat-bottomed Venetian gondola boat used for transportation on the canals of Venice, Italy, or a type of cable car used to transport people up and down a mountain.",576,gondola
"A large, flat, circular gong disc that produces a resonant sound when struck, often used in music or as a signal.",577,gong
"A long, elegant gown typically worn on formal occasions or as a part of ceremonial attire.",578,gown
"A large, stringed musical grand piano with a wooden frame and an extended horizontal harp, played using a keyboard, and known for its rich, dynamic sound.",579,grand piano
"A greenhouse with walls and a roof made primarily of transparent material, such as glass, used for growing and cultivating plants that require controlled climatic conditions.",580,greenhouse
"A protective radiator grille for the front of a vehicle, designed to allow air to flow through the radiator for cooling purposes while also providing a distinctive appearance.",581,radiator grille
"A retail grocery store that sells a wide variety of food products and household items, including fresh produce, meats, dairy products, and packaged goods.",582,grocery store
"A historical guillotine device consisting of a large, upright frame with a weighted, angled blade used to quickly and efficiently behead prisoners.",583,guillotine
A small hair clip used to hold hair in place or add decoration to a hairstyle.,584,hair clip
A styling hair spray used to hold hair in place and provide a desired level of hold and texture.,585,hair spray
"A half-track of military vehicle with both wheels and continuous tracks, providing greater off-road mobility than a fully wheeled vehicle.",586,half-track
"A hammer tool consisting of a heavy, typically metal head attached to a handle, used for driving nails, breaking objects, or striking surfaces.",587,hammer
"A hamper used for storing dirty laundry, typically made of wicker, fabric, or plastic.",588,hamper
An electrical hair dryer used to blow hot or cool air over damp hair to dry and style it.,589,hair dryer
"A small, portable electronic hand-held computer, such as a smartphone or tablet, used for computing, communication, and media consumption.",590,hand-held computer
"A small, square handkerchief of fabric, often made of cotton or silk, used for personal hygiene purposes or as a fashion accessory.",591,handkerchief
A hard disk drive storage device used in computers that uses magnetic storage to store and retrieve digital information.,592,hard disk drive
"A small, rectangular, handheld musical harmonica played by blowing air through its reeds to produce various pitches.",593,harmonica
"A large, stringed musical harp with a triangular frame, played by plucking or strumming the strings with fingers.",594,harp
"An agricultural combine harvester that combines the processes of reaping, threshing, and winnowing grain crops, such as wheat or corn.",595,combine harvester
"A small hatchet with a short handle, used for cutting wood or as a weapon.",596,hatchet
"A holster, often made of leather, for carrying a handgun or other small weapon, typically worn on a belt or attached to a garment.",597,holster
An home theater system consisting of audio and video equipment designed to recreate the experience of a movie theater in a home setting.,598,home theater
A honeycomb of hexagonal wax cells built by bees to store honey and house their larvae.,599,honeycomb
"A curved or angled hook of metal, plastic, or other material used for hanging, holding, or pulling objects.",600,hook
"A hoop skirt's skirt, popular in the 19th century, that is extended and supported by a series of concentric hoops, giving it a distinctive bell shape.",601,hoop skirt
"A gymnastic horizontal bar of gymnastics equipment consisting of a single horizontal metal bar, used by athletes to perform various acrobatic maneuvers.",602,gymnastic horizontal bar
"A wheeled horse-drawn vehicle, such as a carriage or wagon, designed to be pulled by one or more horses.",603,horse-drawn vehicle
"A timekeeping hourglass consisting of two glass chambers connected by a narrow passage, with sand flowing through the passage at a constant rate to measure a specific time interval.",604,hourglass
"A portable digital iPod player, developed by Apple Inc., designed for playing and storing music, videos, and other media files.",605,iPod
A clothes iron appliance used for pressing and smoothing clothes by applying heat and pressure.,606,clothes iron
"A carved pumpkin that has been hollowed out and had a design or face cut into its surface, often used as a decorative item during Halloween.",607,carved pumpkin
"A jeans of pants made from denim or other durable fabric, typically featuring a button or zipper fly, belt loops, and pockets.",608,jeans
"A jeep of American vehicles known for their rugged, off-road capabilities and distinctive design features, such as a seven-slot grille.",609,jeep
"A casual, short-sleeved T-shirt made of soft, stretchy fabric, typically featuring a round or V-shaped neckline.",610,T-shirt
A recreational jigsaw puzzle in which a picture is divided into irregularly shaped pieces that must be fitted together to form the complete image.,611,jigsaw puzzle
"A rickshaw, often human-powered, vehicle used for transporting passengers, featuring a covered seating area and two or three wheels.",612,rickshaw
"A joystick device, often used in video games or flight simulators, that consists of a stick that pivots on a base and is used to manipulate objects on a screen or control a machine.",613,joystick
"A traditional Japanese kimono, featuring a T-shaped, wide-sleeved, ankle-length robe, usually worn with an obi sash tied around the waist.",614,kimono
"A protective knee pad of equipment worn on the knees, designed to cushion and shield them from injury during sports or other physical activities.",615,knee pad
"A knot of fastening or securing linear material, such as rope or string, by looping, twisting, and intertwining it.",616,knot
"A lab coat, protective garment worn by scientists, doctors, or other professionals working in a laboratory or similar environment.",617,lab coat
"A long-handled ladle with a deep, bowl-shaped end, used for serving liquids, such as soup or sauce.",618,ladle
"A decorative lampshade, often made of fabric, paper, or glass, used to diffuse and direct the light from a lamp.",619,lampshade
"A portable personal laptop computer, featuring a clamshell design with a display screen and keyboard, designed for easy transportation and use on the go.",620,laptop computer
"A lawn mower, either manual or powered, used for cutting and maintaining the height of grass in lawns and other grassy areas.",621,lawn mower
"A protective lens cap for a camera lens, designed to keep the lens clean and free from damage when not in use.",622,lens cap
"A small, often decorative, letter opener used for neatly and efficiently slicing open the sealed edges of envelopes.",623,letter opener
"A library or room containing a collection of books, periodicals, and other materials for reading, study, or reference.",624,library
"A small, sturdy lifeboat carried by larger vessels, designed to be used in emergency situations, such as evacuating passengers and crew during a maritime disaster.",625,lifeboat
"A portable lighter that produces a flame, typically used for igniting cigarettes, candles, or other flammable materials.",626,lighter
"A limousine vehicle, often driven by a chauffeur, featuring a long wheelbase and a separate compartment for passengers, typically used for special events or occasions.",627,limousine
"A large, passenger-carrying ocean liner designed for long-distance travel across oceans, typically featuring various amenities and accommodations.",628,ocean liner
"A cosmetic lipstick applied to the lips to add color and texture, often made from a mixture of pigments, oils, and waxes.",629,lipstick
"A slip-on shoe of footwear that is easily put on and taken off, without the need for fasteners such as laces or buckles.",630,slip-on shoe
"A lotion or semi-solid cosmetic product applied to the skin to moisturize, protect, or provide other benefits.",631,lotion
"An electroacoustic music speaker designed to reproduce sound from an audio source, such as a stereo system or portable music player.",632,music speaker
"A small, handheld loupe magnifying glass device used to examine fine details, often used by jewelers, watchmakers, and other professionals.",633,loupe magnifying glass
An industrial sawmill where logs are cut into lumber using large saws.,634,sawmill
A navigational magnetic compass that uses a magnetized needle to indicate the direction of the Earth's magnetic north or south pole.,635,magnetic compass
"A messenger bag of bag worn over one shoulder, typically featuring a large, rectangular shape and a flap closure, often used for carrying documents, laptops, or other items.",636,messenger bag
"A mailbox, either freestanding or mounted on a building, used for receiving, sending, or storing mail.",637,mailbox
"A tights, stretchy garment worn on the legs and feet, typically made from nylon or other synthetic materials.",638,tights
"A single-piece one-piece bathing suit, designed to cover the torso and crotch, usually with straps over the shoulders.",639,one-piece bathing suit
"A removable, manhole cover or rectangular metal plate used to cover an opening in a street or sidewalk, providing access to underground utilities.",640,manhole cover
"A maraca instrument, originating from Latin America, consisting of a hollow gourd or container filled with seeds or beads, shaken to produce sound.",641,maraca
